CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Arthur Laurents,1917,N,American,M,N,N,Gypsy: Overture,4,2003,N,N,Orchestra
Fred Ebb,1928,N,American,M,N,N,Chicago: All That Jazz,4,1975,N,N,Orchestra
Time Rice,1944,Y,English,M,N,N,Chess: Anthem,4,1984,N,N,Orchestra
Oscar Hammerstein,1895,N,American,M,N,N,The Sound of Music: The Sound of Music,4,1956,N,N,Orchestra
Oscar Hammerstein,1895,N,American,M,N,N,The Sound of Music: Something Good,4,1956,N,N,Orchestra
Richard Stilgoe,1943,Y,English,M,N,N,Phantom of the Opera: Overture,4,1986,N,N,Orchestra
Richard Stilgoe,1943,Y,English,M,N,N,Phantom of the Opera: Music of the Night,4,1964,N,N,Orchestra
Isobel Lennart,1915,N,American,F,N,N,Funny Girl: Don't Rain on My Parade,4,1964,N,N,Orchestra
Time Rice,1944,Y,English,M,N,N,Beauty and the Beast: Evermore,4,2017,N,N,Orchestra
Lillian Hellman,1905,N,American,F,N,N,Candide: Overture,4,1955,N,N,Orchestra
Oscar Hammerstein,1895,N,American,M,N,N,Carousel: The Carousel Waltz,4,1945,N,N,Orchestra
Oscar Hammerstein,1895,N,American,M,N,N,Carousel: Soliloquy,4,1945,N,N,Orchestra
Joe Masterhoff,1919,N,American,M,N,N,Cabaret: Maybe This Time,4,1966,N,N,Orchestra
Enda Walsh,1967,Y,Irish,M,N,N,Once: Falling Slowly,4,2007,N,N,Orchestra
Arthur Laurents,1917,N,American,M,N,N,West Side Story: Cool,4,1956,N,N,Orchestra
Arthur Laurents,1917,N,American,M,N,N,West Side Story: Mambo,4,1956,N,N,Orchestra
Claude-Michel Sch̦nberg,1944,Y,French,M,N,N,Les Miserables: I Dreamed a Dream,4,1957,N,N,Orchestra
Claude-Michel Sch̦nberg,1944,Y,French,M,N,N,Les Miserables: Bring Him Home,4,1957,N,N,Orchestra
Winnie Holzman,1954,Y,American,F,N,N,Wicked: Defying Gravity,4,2002,N,N,Orchestra
